,Astronaut,Selection Year,Hr in Space
190,"Melnick, Bruce E. ",1987,311
294,"Johnson, Gregory C. ",1998,309
320,"McArthur, K. Megan ",2000,309
264,"Higginbotham, Joan E. ",1996,308
299,"Oefelein, William A. ",1998,308
280,"Richards, Paul W. ",1996,307
324,"Acaba, Joseph M. ",2004,307
325,"Arnold, Richard R., II ",2004,307
276,"Nowak, Lisa M. ",1996,306
296,"Love, Stanley G. ",1998,306
298,"Morgan, Barbara R. ",1998,305
66,"Evans, Ronald E. ",1966,301
60,"Schmitt, Harrison H. ",1965,301
2,"Worden, Alfred M.",1966,295
69,"Irwin, James B. ",1966,295
30,"Schirra, Walter M., Jr. ",1959,295
94,"Overmyer, Robert F. ",1969,290
42,"Aldrin, Buzz ",1963,289
126,"Stewart, Robert L. ",1978,289
3,"Williams, Donald E.",1978,287
48,"Collins, Michael ",1963,266
64,"Duke, Charles M., Jr. ",1966,265
49,"Cunningham, Walter ",1963,263
50,"Eisele, Donn F. ",1963,260
326,"Bresnik, Randolph J. ",2004,259
333,"Satcher, Robert L. ",2004,259
275,"Morin, Lee M. ",1996,259
12,"Wilmore, Barry E.",2000,259
152,"Brown, Mark N. ",1984,249
53,"Schweickart, Russell L. ",1963,241
258,"Carey, Duane G. ",1996,240
136,"Cleave, Mary L. ",1980,240
149,"Springer, Robert C. ",1980,237
27,"Cooper, L. Gordon, Jr. ",1959,225
65,"Engle, Joe H. ",1966,224
28,"Glenn, John H., Jr. ",1959,217
32,"Slayton, Donald K. ",1959,217
31,"Shepard, Alan B., Jr. ",1959,216
74,"Mitchell, Edgar D. ",1966,216
76,"Roosa, Stuart A. ",1966,216
240,"Edwards, Joe F., Jr. ",1995,211
33,"Armstrong, Neil A. ",1962,205
96,"Truly, Richard H. ",1969,199
114,"McBride, Jon A. ",1978,197
115,"McNair, Ronald E. ",1978,191
104,"Fisher, Anna L. ",1978,191
81,"England, Anthony W. ",1967,190
188,"Jemison, Mae C. ",1987,190
134,"Bridges, Roy D., Jr. ",1980,190
82,"Henize, Karl G. ",1967,188
138,"Fisher, William F. ",1980,170
122,"Scobee, Francis R. ",1978,168
70,"Lind, Don L. ",1966,168
108,"Griggs, S. David ",1978,167
109,"Hart, Terry J. ",1978,167
148,"Spring, Sherwood C. ",1980,165
43,"Anders, William A. ",1963,147
156,"Culbertson, Frank L., Jr. ",1984,146
120,"Resnik, Judith A. ",1978,144
77,"Swigert, John L., Jr. ",1966,142
68,"Haise, Fred W., Jr. ",1966,142
241,"Gorie, Dominic L. ",1995,128
84,"Lenoir, William B. ",1967,122
95,"Peterson, Donald H. ",1969,120
154,"Carter, Manley Lanier, Jr. ",1984,120
162,"McCulley, Michael J. ",1984,119
40,"White, Edward H., II ",1962,97
119,"Onizuka, Ellison S. ",1978,73
29,"Grissom, Virgil I. ",1959,5
0,"Carpenter, M. Scott ",1959,4
